id,social-security-number,house-number,age-group,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country-code,native-country,label
8616,830617145.0,8732.0,2,self-emp-inc,270079.0,bachelors,13.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,3,USA,united-states,1.0
21982,151595184.0,1894.0,3,local-gov,146325.0,doctorate,16.0,married-civ-spouse,prof-specialty,husband,white,male,0,2,2,USA,united-states,1.0
11191,303184281.0,9466.0,0,private,240767.0,hs-grad,9.0,never-married,other-service,not-in-family,white,female,0,0,1,USA,united-states,0.0
22229,369287837.0,8511.0,2,private,118536.0,hs-grad,9.0,divorced,machine-op-inspct,other-relative,black,male,0,0,2,USA,united-states,0.0
20732,420084973.0,1281.0,3,private,160440.0,bachelors,13.0,married-civ-spouse,sales,husband,white,male,0,0,3,USA,united-states,1.0
4217,308361331.0,4651.0,3,private,246519.0,10th,6.0,married-civ-spouse,handlers-cleaners,husband,white,male,1,0,2,USA,united-states,0.0
11509,305433488.0,3489.0,2,private,185567.0,hs-grad,9.0,divorced,machine-op-inspct,unmarried,white,male,0,0,2,USA,united-states,1.0
23787,943307930.0,4588.0,2,private,222142.0,some-college,10.0,married-civ-spouse,craft-repair,husband,white,male,1,0,2,USA,united-states,0.0
20848,628279109.0,2493.0,1,private,218955.0,bachelors,13.0,married-civ-spouse,sales,husband,white,male,0,0,2,USA,united-states,0.0
14739,214382312.0,5475.0,3,private,260106.0,hs-grad,9.0,widowed,sales,not-in-family,white,female,0,0,1,USA,united-states,0.0
6870,741718508.0,1332.0,1,state-gov,227931.0,some-college,10.0,divorced,adm-clerical,not-in-family,white,female,0,0,2,USA,united-states,0.0
11931,300154869.0,189.0,4,local-gov,158412.0,hs-grad,9.0,widowed,adm-clerical,not-in-family,white,female,0,0,2,USA,united-states,0.0
21682,796168390.0,605.0,2,private,234891.0,some-college,10.0,divorced,handlers-cleaners,not-in-family,amer-indian-eskimo,female,0,0,2,USA,united-states,0.0
26167,425201038.0,8360.0,0,private,167031.0,some-college,10.0,never-married,other-service,other-relative,other,female,0,0,1,ECU,ecuador,0.0
18388,455342043.0,7035.0,1,private,309974.0,some-college,10.0,separated,tech-support,unmarried,black,female,0,0,2,USA,united-states,0.0
23083,922730196.0,6642.0,1,private,72887.0,some-college,10.0,married-civ-spouse,sales,husband,asian-pac-islander,male,0,0,2,USA,united-states,1.0
21202,670049195.0,7461.0,1,self-emp-not-inc,212041.0,bachelors,13.0,never-married,sales,not-in-family,white,male,0,0,3,USA,united-states,0.0
9334,471717424.0,8171.0,0,,180339.0,some-college,10.0,never-married,,own-child,white,female,0,0,1,USA,united-states,0.0
3511,620447745.0,1548.0,0,private,157541.0,hs-grad,9.0,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,3,USA,united-states,0.0
12863,627196545.0,2520.0,0,private,160261.0,masters,14.0,never-married,prof-specialty,not-in-family,asian-pac-islander,male,0,0,0,FRA,france,0.0
433,642398942.0,6956.0,2,private,146906.0,masters,14.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,3,USA,united-states,1.0
6603,605521421.0,3211.0,2,self-emp-not-inc,175120.0,some-college,10.0,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states,1.0
27786,767061185.0,6684.0,2,self-emp-not-inc,34378.0,hs-grad,9.0,married-civ-spouse,farming-fishing,husband,white,male,0,0,3,USA,united-states,0.0
18331,468607857.0,5427.0,2,private,214781.0,masters,14.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,USA,united-states,1.0
8760,784057097.0,4241.0,3,state-gov,30219.0,some-college,10.0,married-civ-spouse,exec-managerial,husband,white,male,3,0,2,USA,united-states,1.0
20004,497898076.0,7948.0,4,,247986.0,prof-school,15.0,married-civ-spouse,,husband,white,male,0,0,1,USA,united-states,1.0
10884,230617911.0,6051.0,3,private,142719.0,hs-grad,9.0,married-spouse-absent,farming-fishing,not-in-family,white,male,0,0,4,USA,united-states,0.0
26879,478788417.0,1705.0,1,private,608881.0,hs-grad,9.0,never-married,craft-repair,not-in-family,black,male,0,0,2,USA,united-states,0.0
14858,450726598.0,8804.0,2,private,222596.0,hs-grad,9.0,divorced,tech-support,not-in-family,white,male,0,0,3,USA,united-states,1.0
11097,982542995.0,6074.0,1,private,295591.0,5th-6th,3.0,married-spouse-absent,craft-repair,not-in-family,white,male,0,0,2,MEX,mexico,0.0
1535,203292854.0,4652.0,4,private,178353.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,0,0,3,USA,united-states,1.0
2878,304385535.0,5423.0,1,private,179579.0,hs-grad,9.0,married-civ-spouse,adm-clerical,husband,white,male,0,0,2,USA,united-states,0.0
5140,420035076.0,2593.0,1,private,232666.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states,0.0
16215,228055400.0,6473.0,4,private,232337.0,7th-8th,4.0,divorced,machine-op-inspct,not-in-family,white,male,0,0,2,USA,united-states,0.0
19707,490397451.0,7333.0,4,private,117299.0,hs-grad,9.0,married-civ-spouse,transport-moving,husband,white,male,0,0,2,USA,united-states,1.0
1272,158019781.0,585.0,0,private,145964.0,some-college,10.0,married-civ-spouse,craft-repair,husband,white,male,2,0,3,USA,united-states,1.0
21131,926021709.0,5658.0,1,private,246449.0,hs-grad,9.0,never-married,other-service,not-in-family,white,male,1,0,3,USA,united-states,0.0
6307,325959812.0,7456.0,0,private,35065.0,hs-grad,9.0,never-married,transport-moving,not-in-family,black,male,0,0,1,USA,united-states,0.0
18127,262101005.0,527.0,1,private,181667.0,hs-grad,9.0,married-civ-spouse,machine-op-inspct,husband,white,male,2,0,3,CAN,canada,0.0
5836,785802198.0,3168.0,4,self-emp-not-inc,113440.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,white,male,4,0,2,USA,united-states,1.0
18651,977188321.0,3725.0,1,private,81540.0,hs-grad,9.0,never-married,handlers-cleaners,not-in-family,white,male,0,0,2,USA,united-states,0.0
